"Region","Country","State","City","Month","Day","Year","AvgTemperature"
"Asia","China","","Beijing",1,1,1995,28
"Asia","China","","Beijing",1,2,1995,29
"Asia","China","","Beijing",1,3,1995,29.9
"Asia","China","","Beijing",1,4,1995,34.5
"Asia","China","","Beijing",1,5,1995,36.6
"Asia","China","","Beijing",1,6,1995,39.5
"Asia","China","","Beijing",1,7,1995,35.9
"Asia","China","","Beijing",1,8,1995,35.8
"Asia","China","","Beijing",1,9,1995,29.3
"Asia","China","","Beijing",1,10,1995,28.4
"Asia","China","","Beijing",1,11,1995,28
"Asia","China","","Beijing",1,12,1995,28.7
"Asia","China","","Beijing",1,13,1995,27
"Asia","China","","Beijing",1,14,1995,26.6
"Asia","China","","Beijing",1,15,1995,27.3
"Asia","China","","Beijing",1,16,1995,30.1
"Asia","China","","Beijing",1,17,1995,30.3
"Asia","China","","Beijing",1,18,1995,26.7
"Asia","China","","Beijing",1,19,1995,25.9
"Asia","China","","Beijing",1,20,1995,27.1
"Asia","China","","Beijing",1,21,1995,33.4
"Asia","China","","Beijing",1,22,1995,33
"Asia","China","","Beijing",1,23,1995,26
"Asia","China","","Beijing",1,24,1995,29.6
"Asia","China","","Beijing",1,25,1995,26.2
"Asia","China","","Beijing",1,26,1995,28.4
"Asia","China","","Beijing",1,27,1995,31.9
"Asia","China","","Beijing",1,28,1995,32.2
"Asia","China","","Beijing",1,29,1995,32.5
"Asia","China","","Beijing",1,30,1995,29.5
"Asia","China","","Beijing",1,31,1995,25.8
"Asia","China","","Beijing",2,1,1995,26.7
"Asia","China","","Beijing",2,2,1995,26.8
"Asia","China","","Beijing",2,3,1995,24.3
"Asia","China","","Beijing",2,4,1995,27.5
"Asia","China","","Beijing",2,5,1995,34.4
"Asia","China","","Beijing",2,6,1995,38.7
"Asia","China","","Beijing",2,7,1995,39.9
"Asia","China","","Beijing",2,8,1995,37.9
"Asia","China","","Beijing",2,9,1995,36.6
"Asia","China","","Beijing",2,10,1995,33.3
"Asia","China","","Beijing",2,11,1995,40.7
"Asia","China","","Beijing",2,12,1995,35.7
"Asia","China","","Beijing",2,13,1995,35.2
"Asia","China","","Beijing",2,14,1995,38.8
"Asia","China","","Beijing",2,15,1995,35.5
"Asia","China","","Beijing",2,16,1995,36.1
"Asia","China","","Beijing",2,17,1995,37.5
"Asia","China","","Beijing",2,18,1995,40.1
"Asia","China","","Beijing",2,19,1995,35.6
"Asia","China","","Beijing",2,20,1995,34.7
"Asia","China","","Beijing",2,21,1995,33.8
"Asia","China","","Beijing",2,22,1995,38.1
"Asia","China","","Beijing",2,23,1995,40.9
"Asia","China","","Beijing",2,24,1995,43
"Asia","China","","Beijing",2,25,1995,37.9
"Asia","China","","Beijing",2,26,1995,40
"Asia","China","","Beijing",2,27,1995,33.1
"Asia","China","","Beijing",2,28,1995,35.2
"Asia","China","","Beijing",3,1,1995,36.8
"Asia","China","","Beijing",3,2,1995,42.1
"Asia","China","","Beijing",3,3,1995,39.6
"Asia","China","","Beijing",3,4,1995,44.5
"Asia","China","","Beijing",3,5,1995,48
"Asia","China","","Beijing",3,6,1995,51
"Asia","China","","Beijing",3,7,1995,50.9
"Asia","China","","Beijing",3,8,1995,48.9
"Asia","China","","Beijing",3,9,1995,44.1
"Asia","China","","Beijing",3,10,1995,48.8
"Asia","China","","Beijing",3,11,1995,42.3
"Asia","China","","Beijing",3,12,1995,44.8
"Asia","China","","Beijing",3,13,1995,46.9
"Asia","China","","Beijing",3,14,1995,50.7
"Asia","China","","Beijing",3,15,1995,41.6
"Asia","China","","Beijing",3,16,1995,29
"Asia","China","","Beijing",3,17,1995,39.5
"Asia","China","","Beijing",3,18,1995,45.6
"Asia","China","","Beijing",3,19,1995,50
"Asia","China","","Beijing",3,20,1995,54.2
"Asia","China","","Beijing",3,21,1995,49.2
"Asia","China","","Beijing",3,22,1995,45.9
"Asia","China","","Beijing",3,23,1995,40
"Asia","China","","Beijing",3,24,1995,43.7
"Asia","China","","Beijing",3,25,1995,46.7
"Asia","China","","Beijing",3,26,1995,53.6
"Asia","China","","Beijing",3,27,1995,47.8
"Asia","China","","Beijing",3,28,1995,44
"Asia","China","","Beijing",3,29,1995,49.2
"Asia","China","","Beijing",3,30,1995,50.5
"Asia","China","","Beijing",3,31,1995,51
"Asia","China","","Beijing",4,1,1995,45.7
"Asia","China","","Beijing",4,2,1995,47.5
"Asia","China","","Beijing",4,3,1995,54.8
"Asia","China","","Beijing",4,4,1995,53.3
"Asia","China","","Beijing",4,5,1995,59.9
"Asia","China","","Beijing",4,6,1995,57.1
"Asia","China","","Beijing",4,7,1995,57.6
"Asia","China","","Beijing",4,8,1995,50.2
"Asia","China","","Beijing",4,9,1995,54.5
"Asia","China","","Beijing",4,10,1995,43.3
"Asia","China","","Beijing",4,11,1995,51.8
"Asia","China","","Beijing",4,12,1995,58.1
"Asia","China","","Beijing",4,13,1995,56.9
"Asia","China","","Beijing",4,14,1995,55.9
"Asia","China","","Beijing",4,15,1995,52.5
"Asia","China","","Beijing",4,16,1995,62.8
"Asia","China","","Beijing",4,17,1995,62.8
"Asia","China","","Beijing",4,18,1995,53
"Asia","China","","Beijing",4,19,1995,60.2
"Asia","China","","Beijing",4,20,1995,62.2
"Asia","China","","Beijing",4,21,1995,62
"Asia","China","","Beijing",4,22,1995,58.7
"Asia","China","","Beijing",4,23,1995,64.9
"Asia","China","","Beijing",4,24,1995,63.8
"Asia","China","","Beijing",4,25,1995,59
"Asia","China","","Beijing",4,26,1995,63.5
"Asia","China","","Beijing",4,27,1995,65.9
"Asia","China","","Beijing",4,28,1995,72
"Asia","China","","Beijing",4,29,1995,70
"Asia","China","","Beijing",4,30,1995,67.8
"Asia","China","","Beijing",5,1,1995,55.3
"Asia","China","","Beijing",5,2,1995,54.8
"Asia","China","","Beijing",5,3,1995,59.6
"Asia","China","","Beijing",5,4,1995,64.1
"Asia","China","","Beijing",5,5,1995,68.7
"Asia","China","","Beijing",5,6,1995,66.4
"Asia","China","","Beijing",5,7,1995,68.9
"Asia","China","","Beijing",5,8,1995,72
"Asia","China","","Beijing",5,9,1995,59.3
"Asia","China","","Beijing",5,10,1995,63.4
"Asia","China","","Beijing",5,11,1995,64.6
"Asia","China","","Beijing",5,12,1995,55
"Asia","China","","Beijing",5,13,1995,53.1
"Asia","China","","Beijing",5,14,1995,63.9
"Asia","China","","Beijing",5,15,1995,68.6
"Asia","China","","Beijing",5,16,1995,72
"Asia","China","","Beijing",5,17,1995,74.4
"Asia","China","","Beijing",5,18,1995,70
"Asia","China","","Beijing",5,19,1995,71.7
"Asia","China","","Beijing",5,20,1995,68.5
"Asia","China","","Beijing",5,21,1995,67
"Asia","China","","Beijing",5,22,1995,72.1
"Asia","China","","Beijing",5,23,1995,73.2
"Asia","China","","Beijing",5,24,1995,76.7
"Asia","China","","Beijing",5,25,1995,72.9
"Asia","China","","Beijing",5,26,1995,73.3
"Asia","China","","Beijing",5,27,1995,69.1
"Asia","China","","Beijing",5,28,1995,74.8
"Asia","China","","Beijing",5,29,1995,72.2
"Asia","China","","Beijing",5,30,1995,75.4
"Asia","China","","Beijing",5,31,1995,76.7
